id	name	cost	type	element	faction	pool	npc_only	description	effect_logic	rarity
BAS_001	基礎吐納	1	skill	neutral	base	base	false	獲得 5 點護盾。	"op: ""add_block"", amount: 5"	BASIC
BAS_002	基礎劍訣	1	attack	neutral	base	base	false	造成 6 點傷害。	"op: ""deal_damage"", amount: 6"	BASIC
BAS_003	閃避步法	0	skill	neutral	base	base	false	獲得 3 點護盾，抽 1 張牌。	"op: ""add_block"", amount: 3; op: ""draw_card"", amount: 1"	N
BAS_004	聚氣散	0	skill	neutral	base	base	false	獲得 2 點能量。消耗。	"op: ""gain_energy"", amount: 2; op: ""exhaust"""	N
BAS_005	破綻百出	1	skill	neutral	base	base	false	敵方全體給予 1 層【易傷】(受傷+50%)。	"op: ""apply_status_all"", status_key: ""Vulnerable"", amount: 1"	N
BAS_006	靈氣護盾	1	skill	neutral	base	base	false	獲得 6 點護盾。若手牌有攻擊牌，額外獲得 3 點。	"op: ""add_block"", amount: 6, condition: ""hand_has_attack"""	N
BAS_007	飛身托跡	1	skill	neutral	base	base	false	抽 2 張牌，捨棄 1 張手牌。	"op: ""draw_card"", amount: 2; op: ""discard"", amount: 1"	N
BAS_008	靈石利誘	0	skill	neutral	base	base	false	獲得 1 點能量。本局戰鬥金幣獎勵減少。	"op: ""gain_energy"", amount: 1; op: ""reduce_gold"", amount: 10"	N
BAS_009	便捷小還丹	1	skill	neutral	base	base	false	回復 4 點生命值。消耗。	"op: ""heal"", amount: 4; op: ""exhaust"""	N
BAS_010	強攻訣	1	skill	neutral	base	base	false	本回合下一張攻擊卡傷害增加 4 點。	"op: ""add_buff"", status_key: ""Next_Attack_Boost"", amount: 4"	N
BAS_011	神識掃描	1	skill	neutral	base	base	false	給予目標 2 層【易傷】與 1 層【虛弱】。	"op: ""apply_status"", status_key: ""Vulnerable"", amount: 2; op: ""apply_status"", status_key: ""Weak"", amount: 1"	R
BAS_012	蓄勢待發	1	skill	neutral	base	base	false	保留至多 2 張手牌至下一回合。	"op: ""retain_hand"", amount: 2"	R
